id,destination_id,titre,description,prix,prix_public,duree,langues,inclusions,categorie,profil_cible,horaires,conditions_annulation
74371,5113,Amsterdam : croisière et entrée à l'Xtracold Icebar,,31.82,37,1 jour,,,,couple,,
74373,5113,Amsterdam : visite en bus à arrêts multiples et croisière,,31.82,37,Billets valables jusqu'à 24 ou 48 heures,,,,couple,,
56485,5113,Forfait Dîner dans le noir Amsterdam 3 plats,,42.14,49,2 heures,,,,general,,
53612,5113,Amsterdam: excursion et croisière avec déjeuner hollandais typique,,67.94,79,8 heures 30 minutes,Anglais,,,couple,,
64252,5113,Parc Efteling depuis Amsterdam : billet d'entrée,,83.42,97,10 heures,,,,general,,
57431,5113,La vraie tournée gastronomique d'Amsterdam avec Adam et Eve,,88.58,103,3 heures,Anglais,,,general,,
57430,5113,Tour culinaire à pied dans le quartier Jordaan à Amsterdam,,102.34,119,3 heures,Anglais,,,general,,
53204,5113,Excursion privée : Visite guidée du musée Van Gogh d'Amsterdam,,149.64,174,2 heures 30 minutes,Français|Anglais,,,solo,,
72516,5113,Amsterdam : croisière semi-privée avec dégustation de Vin,,152.22,185,01:30,,,,couple,,
56478,5113,Visite privée au Keukenhof,,251.12,292,4 heures à 5 heures,Anglais,,,solo,,
56479,5113,Amsterdam : Zaanse Schans Windmills 1/2 journée visite privée,,281.22,327,4 heures,Anglais,,,solo,,
55005,5113,Amsterdam : dîner-croisière privé avec excursion de 2 heures,,356.04,414,2 heures,Anglais,,,couple,,
72517,5113,Amsterdam : visite en bateau-salon privé,,468,468,01:30,,,,solo,,
56471,5113,Excursion privée d'une journée dans la campagne d'Amsterdam,,773.14,899,7 heures,Anglais,,,solo,,
74660,5113,Huis Willet-Holthuysen : billet d'entrée avec audioguide,,15.48,19,,,,,general,,
73682,5113,Défilé floral  : coulisses avec visite de la ferme de tulipes,,0,0,6 heures,,,,general,,
73683,5113,Défilé de fleurs Bollenstreek et jardins de Keukenhof avec déjeuner,,0,0,9 heures,,,,general,,
74662,5113,Museum Ons’ Lieve Heer op Solder : billet d'entrée avec audioguide,,18.92,23,,,,,general,,
71141,5113,Festival des Lumières d'Amsterdam,,26.66,31,1 heure et 30 minutes,,,,general,,
72793,5113,Amsterdam : Bateau du festival des lumières avec option boissons et collations à volonté,,28.38,33,1 heure 15 minutes,,,,general,,
56482,5113,Spectacle Coqtales : spectacle Magic Mike d'Amsterdam,,58.48,68,1 heure 30 minutes,,,,general,,
71872,5113,Visite privée du meilleur du centre d'Amsterdam avec un guide local,,61.06,71,3 heures,Français|Anglais,,,solo,,
71891,5113,Visite privée personnalisée d'Amsterdam: Points forts locaux et pierres précieuses cachées,,64.50,75,2 heures à 6 heures,,,,solo,,
71148,5113,"Depuis Amsterdam : Haarlem, Keukenhof et Flower Para",,85.14,99,7.5 heures,,,,general,,
73681,5113,Défilé de fleurs et visite de la ferme de tulipes,,134.16,156,7 heures,,,,general,,
71775,5113,Visite avec guide officiel à Amsterdam,,187.48,218,2 heures 30 minutes,Français,,,general,,
35161,8067,New York CityPASS,,125.56,146,,,,,general,,
34505,8067,Gospel New York : excursion dimanche matin,,68.80,80,4 heures,,,,general,,
34280,8067,Le Roi Lion à Broadway New York : billet d'entrée au spectacle,,104.92,122,,,,,general,,
34543,8067,Gospel New York : excursion mercredi matin,,68.80,80,3 heures,,,,general,,
34285,8067,Chicago à Broadway New York : billet d'entrée au spectacle,,63.64,74,,,,,general,,
50257,8067,Big Apple New York : vol en hélicoptère de 17 minutes,,219.30,255,17 minutes,,,,general,,
37429,8067,Bushwick et Williamsburg : visite de Brooklyn en français,,50.74,59,3 heures 30 minutes,,,,general,,
40113,8067,Central Park : visite guidée à vélo en français,,48.16,56,2 heures,,,,general,,
37645,8067,Harlem : visite guidée en français,,50.74,59,3 heures 30 minutes,,,,general,,
41088,8067,Top of the Rock New York : billet d'entrée,,36.98,52,,,,,general,,
